variable,model,scenario,yearStart,yearEnd
pr,ACCESS1-3,historical,1850,1869
pr,ACCESS1-3,historical,1870,1889
pr,ACCESS1-3,historical,1890,1909
pr,ACCESS1-3,historical,1910,1929
pr,ACCESS1-3,historical,1930,1949
pr,ACCESS1-3,historical,1950,1969
pr,ACCESS1-3,historical,1970,1989
pr,ACCESS1-3,historical,1990,2005
pr,ACCESS1-3,rcp45,2006,2029
pr,ACCESS1-3,rcp45,2030,2049
pr,ACCESS1-3,rcp45,2050,2069
pr,ACCESS1-3,rcp45,2070,2089
pr,ACCESS1-3,rcp45,2090,2100
pr,ACCESS1-3,rcp85,2006,2029
pr,ACCESS1-3,rcp85,2030,2049
pr,ACCESS1-3,rcp85,2050,2069
pr,ACCESS1-3,rcp85,2070,2089
pr,ACCESS1-3,rcp85,2090,2100
pr,CESM1-BGC,historical,1850,1869
pr,CESM1-BGC,historical,1870,1889
pr,CESM1-BGC,historical,1890,1909
pr,CESM1-BGC,historical,1910,1929
pr,CESM1-BGC,historical,1930,1949
pr,CESM1-BGC,historical,1950,1969
pr,CESM1-BGC,historical,1970,1989
pr,CESM1-BGC,historical,1990,2005
pr,CESM1-BGC,rcp45,2006,2029
pr,CESM1-BGC,rcp45,2030,2049
pr,CESM1-BGC,rcp45,2050,2069
pr,CESM1-BGC,rcp45,2070,2089
pr,CESM1-BGC,rcp45,2090,2100
pr,CESM1-BGC,rcp85,2006,2029
pr,CESM1-BGC,rcp85,2030,2049
pr,CESM1-BGC,rcp85,2050,2069
pr,CESM1-BGC,rcp85,2070,2089
pr,CESM1-BGC,rcp85,2090,2100
pr,CMCC-CM,historical,1850,1869
pr,CMCC-CM,historical,1870,1889
pr,CMCC-CM,historical,1890,1909
pr,CMCC-CM,historical,1910,1929
pr,CMCC-CM,historical,1930,1949
pr,CMCC-CM,historical,1950,1969
pr,CMCC-CM,historical,1970,1989
pr,CMCC-CM,historical,1990,2005
pr,CMCC-CM,rcp45,2006,2029
pr,CMCC-CM,rcp45,2030,2049
pr,CMCC-CM,rcp45,2050,2069
pr,CMCC-CM,rcp45,2070,2089
pr,CMCC-CM,rcp45,2090,2100
pr,CMCC-CM,rcp85,2006,2029
pr,CMCC-CM,rcp85,2030,2049
pr,CMCC-CM,rcp85,2050,2069
pr,CMCC-CM,rcp85,2070,2089
pr,CMCC-CM,rcp85,2090,2100
pr,MIROC5,historical,1850,1869
pr,MIROC5,historical,1870,1889
pr,MIROC5,historical,1890,1909
pr,MIROC5,historical,1910,1929
pr,MIROC5,historical,1930,1949
pr,MIROC5,historical,1950,1969
pr,MIROC5,historical,1970,1989
pr,MIROC5,historical,1990,2005
pr,MIROC5,rcp45,2006,2029
pr,MIROC5,rcp45,2030,2049
pr,MIROC5,rcp45,2050,2069
pr,MIROC5,rcp45,2070,2089
pr,MIROC5,rcp45,2090,2100
pr,MIROC5,rcp85,2006,2029
pr,MIROC5,rcp85,2030,2049
pr,MIROC5,rcp85,2050,2069
pr,MIROC5,rcp85,2070,2089
pr,MIROC5,rcp85,2090,2100
tas,ACCESS1-3,historical,1850,1869
tas,ACCESS1-3,historical,1870,1889
tas,ACCESS1-3,historical,1890,1909
